"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 08:08:01 GMT 2023","Sun Jul 16 08:08:09 GMT 2023","7871","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Sun Jul 16 08:07:31 GMT 2023","Sun Jul 16 08:07:38 GMT 2023","7155","chromium","","Testing lists in Trello > Create lists","","","Create",""
"passed","Sun Jul 16 08:07:56 GMT 2023","Sun Jul 16 08:08:01 GMT 2023","4804","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Sun Jul 16 08:07:14 GMT 2023","Sun Jul 16 08:07:19 GMT 2023","4781","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"passed","Sun Jul 16 08:07:19 GMT 2023","Sun Jul 16 08:07:31 GMT 2023","11816","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Sun Jul 16 08:08:09 GMT 2023","Sun Jul 16 08:08:17 GMT 2023","8249","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Sun Jul 16 08:08:32 GMT 2023","Sun Jul 16 08:08:40 GMT 2023","7403","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Sun Jul 16 08:08:27 GMT 2023","Sun Jul 16 08:08:32 GMT 2023","5199","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"passed","Sun Jul 16 08:08:22 GMT 2023","Sun Jul 16 08:08:27 GMT 2023","5374","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Sun Jul 16 08:06:51 GMT 2023","Sun Jul 16 08:07:06 GMT 2023","14739","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Sun Jul 16 08:07:06 GMT 2023","Sun Jul 16 08:07:14 GMT 2023","7868","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Sun Jul 16 08:07:43 GMT 2023","Sun Jul 16 08:07:52 GMT 2023","9453","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Sun Jul 16 08:07:38 GMT 2023","Sun Jul 16 08:07:43 GMT 2023","4865","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Sun Jul 16 08:06:38 GMT 2023","Sun Jul 16 08:06:51 GMT 2023","13152","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Sun Jul 16 08:08:47 GMT 2023","Sun Jul 16 08:08:51 GMT 2023","3839","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Sun Jul 16 08:07:52 GMT 2023","Sun Jul 16 08:07:56 GMT 2023","3950","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Sun Jul 16 08:08:17 GMT 2023","Sun Jul 16 08:08:22 GMT 2023","4789","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Sun Jul 16 08:08:40 GMT 2023","Sun Jul 16 08:08:47 GMT 2023","7384","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
